"2022/11/01 TWSE Indices"
"Index","Closing Index","Dir(+/-)","Change","Change(%)","Note",
"TIP DVA 150 Index","6,996.04","+","56.13","0.81","",
"TIP BC 30 Index","6,271.13","+","50.71","0.82","",
"TIP INE 30 Index","6,688.20","+","53.02","0.80","",
"TIP ITE 30 Index","6,421.30","+","74.52","1.17","",
"TIP LV 30 Index","6,097.14","-","0.92","-0.02","",
"TIP SAM 50 Index","12,115.99","+","204.14","1.71","",
"TIP HDMV Index","6,139.16","+","38.87","0.64","",
"F4G TIP TW ESG Index","6,654.69","+","43.65","0.66","",
"TIP DDHY Index","5,415.81","+","18.29","0.34","",
"TIP VI 30 Index","4,877.46","+","53.19","1.10","",
"TIP H20 EW Index","5,980.01","+","16.85","0.28","",
"TIP APL Index","5,852.73","+","19.10","0.33","",
"TIP TWSM 300 Index","7,470.20","+","86.11","1.17","",
"TIP PSHD 20 Index","5,469.60","+","46.20","0.85","",
"TIP Cap Top 500 Index","6,744.25","+","44.59","0.67","",
"Taiwan LR Index","6,619.70","+","45.20","0.69","",
"TIP ELVD 20 Index","5,877.86","+","46.37","0.80","",
"TIP NGMC Index","5,408.54","+","28.86","0.54","",
"TIP Smart 30 Index","4,311.05","+","1.31","0.03","",
"TIP TAIFEX TX Futures Index","6,831.53","+","46.13","0.68","",
"TIP VG Index","5,489.51","+","30.88","0.57","",
"TIP TPEx ESG Index","4,844.62","+","55.41","1.16","",
"TIP LDR Index","5,870.21","+","21.10","0.36","",
"TIP Multi-factor Smart Beta Index","4,839.91","+","23.07","0.48","",
"TIP Taiwan ESG High Dividend Index","3,574.94","+","27.10","0.76","",
"TIP TPEx ESG Growth Index","3,519.44","+","43.82","1.26","",
"TIP TPEx ESG ITE Index","3,590.53","+","24.45","0.69","",
"Taiwan HDA Index","3,973.69","+","26.75","0.68","",
"TIP Taiwan DH Index","4,307.84","+","48.81","1.15","",
"TIP TPEx ESG HD Index","5,056.69","+","27.63","0.55","",
"TIP Finance DH Index","4,603.17","+","55.58","1.22","",
"TWSE Indices-TRI"
"Index-TRI","Closing Index","Dir(+/-)","Change","Change(%)","Note",
"Formosa Total Return Index","20,826.56","+","154.89","0.75","",
"TAIEX Total Return Index","27,056.79","+","181.51","0.68","",
"TWSE CG 100 Index-TRI","10,148.21","+","53.27","0.53","",
"FTSE TWSE Taiwan 50 Index-TRI","20,411.43","+","111.07","0.55","",
"FTSE TWSE Taiwan 50 30% Capped Index-TRI","19,976.55","+","117.92","0.59","",
"FTSE TWSE Taiwan Mid-Cap 100 Index-TRI","22,859.51","+","250.48","1.11","",
"FTSE TWSE Taiwan Technology Index-TRI","32,073.60","+","167.70","0.53","",
"FTSE TWSE Taiwan Eight Industries Index-TRI","17,207.71","+","84.74","0.49","",
"FTSE TWSE Taiwan Dividend+ Index-TRI","15,142.85","+","37.05","0.25","",
"Taiwan RAFI&reg; EMP 99 Index-TRI","12,792.53","+","115.48","0.91","",
"Taiwan HC 100 Index-TRI","10,592.24","+","67.10","0.64","",
"Non-Finance Non-Electronics Sub-index-TRI","27,990.28","+","225.24","0.81","",
"TWSE TAIEX Small-Cap 300 Sub-index-TRI","9,889.08","+","105.45","1.08","",
"Cement-TRI","279.54","+","2.87","1.04","",
"Food-TRI","2,761.14","+","22.73","0.83","",
"Plastic-TRI","420.14","+","1.75","0.42","",
"Textile-TRI","910.96","+","12.27","1.37","",
"Electric Machinery-TRI","305.77","+","5.82","1.94","",
"Electrical and Cable-TRI","136.05","+","3.92","2.97","",
"Chemical, Biotechnology, and Medical Care-TRI","158.32","+","1.89","1.21","",
"Chemical-TRI","199.04","+","2.40","1.22","",
"Biotechnology and Medical Care-TRI","83.10","+","0.98","1.19","",
"Glass and Ceramic-TRI","67.64","+","1.65","2.50","",
"Paper and Pulp-TRI","452.44","+","2.96","0.66","",
"Iron and Steel-TRI","213.42","+","1.21","0.57","",
"Rubber-TRI","360.31","+","4.94","1.39","",
"Automobile-TRI","497.18","+","4.51","0.92","",
"Electronics-TRI","1,106.14","+","5.42","0.49","",
"Semiconductor-TRI","469.41","+","2.42","0.52","",
"Computer and Peripheral Equipment-TRI","249.97","+","1.00","0.40","",
"Optoelectronic-TRI","45.76","+","0.77","1.71","",
"Communications and Internet-TRI","257.41","-","1.30","-0.50","",
"Electronic Parts/Components-TRI","265.31","+","3.27","1.25","",
"Electronic Products Distribution-TRI","376.33","+","0.48","0.13","",
"Information Service-TRI","271.22","+","0.16","0.06","",
"Other Electronic-TRI","150.73","-","0.10","-0.07","",
"Building Material and Construction-TRI","672.42","+","1.81","0.27","",
"Shipping and Transportation-TRI","227.24","-","2.08","-0.91","",
"Tourism-TRI","133.02","+","0.30","0.23","",
"Finance and Insurance-TRI","2,469.81","+","29.65","1.22","",
"Trading and Consumers' Goods-TRI","397.56","+","4.11","1.04","",
"Oil, Gas and Electricity-TRI","172.33","+","0.48","0.28","",
"Other-TRI","530.33","+","9.77","1.88","",
"Cross-market Indices-TRI"
"Index-TRI","Closing Index","Dir(+/-)","Change","Change(%)","Note",
"TIP Taiwan BIO TR Index","4,164.29","+","114.56","2.83","",
"TIP Taiwan SMCG Total Return Index","7,796.15","+","105.24","1.37","",
"TIP Taiwan IPO Total Return Index","4,761.44","+","32.64","0.69","",
"TIP TAIFEX Smart Market Neutral TR Index","4,009.31","-","21.18","-0.53","",
"TIP TAIFEX TAIEX Covered Call OTM5% TR Index","5,933.36","+","38.07","0.65","",
"Taiwan 5G Total Return Index","7,142.02","+","42.62","0.60","",
"TIP Taiwan CSR SMC Total Return Index","8,390.44","+","69.76","0.84","",
"TIP EVR Total Return Index","6,046.05","+","108.21","1.82","",
"Taiwan 5G Plus Communications TR Index","5,254.57","+","16.47","0.31","",
"TIP TWTM Total Return Index","4,718.78","+","36.00","0.77","",
"TIP TWSTM Total Return Index","4,204.47","+","38.31","0.92","",
"Taiwan EVAT Sustainability TR Index","3,857.71","+","30.41","0.79","",
"Taiwan SMEV TR Index","3,604.84","+","28.65","0.80","",
"TIP IMA 30 Total Return Index","3,951.73","+","62.04","1.59","",
"Taiwan GEEV Total Return Index","4,230.88","+","47.52","1.14","",
"TIP Taiwan SVSA Total Return Index","3,900.92","+","26.19","0.68","",
"TIP TWSTMS30 Total Return Index","3,250.30","+","28.34","0.88","",
"TIP Taiwan HD30 Total Return Index","3,921.87","+","24.61","0.63","",
"TIP Environmental Sustainability TR Index","4,180.48","+","30.64","0.74","",
"TIP TWSVI Total Return Index","3,870.44","+","33.97","0.89","",
"TIP ICD Total Return Index","2,432.72","+","47.13","1.98","",
"TIP ESDP Total Return Index","4,035.69","+","12.80","0.32","",
"TIP Environmental Sustainability 50 TR Index","3,625.46","+","15.62","0.43","",
"TIP Taiwan MSHD30 Total Return Index","3,814.26","+","13.85","0.36","",
"TIP ICDR Total Return Index","2,907.09","+","50.52","1.77","",
"TIP Green Energy Total Return Index","4,368.38","+","84.51","1.97","",
"TIP Taiwan GHD Total Return Index","3,776.59","+","14.77","0.39","",
"TIP Taiwan SF 50 Total Return Index","3,411.39","+","16.75","0.49","",
"TIP TPCB Total Return Index","3,422.78","+","39.43","1.17","",
"TIP Taiwan WM Total Return Index","3,767.66","+","26.35","0.70","",
"TIP Taiwan SHD Total Return Index","3,762.37","+","4.50","0.12","",
"TIP Taiwan MFHD30 Total Return Index","4,676.01","+","27.76","0.60","",
"TIP Taiwan HDR30 Total Return Index","4,248.46","+","15.28","0.36","",
"TIP Indices-TRI"
"Index-TRI","Closing Index","Dir(+/-)","Change","Change(%)","Note",
"TIP DVA 150 Total Return Index","9,400.61","+","75.42","0.81","",
"TIP BC 30 Total Return Index","7,982.75","+","64.55","0.82","",
"TIP INE 30 Total Return Index","8,553.69","+","67.80","0.80","",
"TIP ITE 30 Total Return Index","7,995.88","+","92.80","1.17","",
"TIP LV 30 Total Return Index","7,918.46","-","1.19","-0.02","",
"TIP SAM 50 Total Return Index","14,355.59","+","241.88","1.71","",
"TIP HDMV Total Return Index","8,528.15","+","53.99","0.64","",
"F4G TIP TW ESG TR Index","8,469.82","+","55.56","0.66","",
"TIP DDHY Total Return Index","6,913.94","+","23.35","0.34","",
"TIP VI 30 Total Return Index","6,532.62","+","71.24","1.10","",
"TIP H20 EW Total Return Index","7,553.35","+","21.28","0.28","",
"TIP APL Total Return Index","7,011.04","+","22.89","0.33","",
"TIP TWSM 300 Total Return Index","8,729.19","+","100.62","1.17","",
"TIP PSHD 20 Total Return Index","6,400.09","+","54.06","0.85","",
"TIP Cap Top 500 Total Return Index","7,868.62","+","52.02","0.67","",
"Taiwan LR Total Return Index","7,952.41","+","54.30","0.69","",
"TIP ELVD 20 Total Return Index","6,922.62","+","54.62","0.80","",
"TIP NGMC Total Return Index","6,053.28","+","32.30","0.54","",
"TIP Smart 30 Total Return Index","4,982.76","+","1.51","0.03","",
"TIP APL TR Daily Return Leveraged 2X Index","10,126.88","+","65.91","0.66","",
"TIP APL TR Daily Return Inverse -1X Index","8,144.52","-","26.77","-0.33","",
"TIP VG Total Return Index","6,557.72","+","36.89","0.57","",
"TIP TPEx ESG Total Return Index","5,438.27","+","62.20","1.16","",
"TIP LDR Total Return Index","6,646.93","+","23.89","0.36","",
"TIP Multi-factor Smart Beta TR Index","5,294.32","+","25.24","0.48","",
"TIP Taiwan ESG High Dividend TR Index","3,957.66","+","30.00","0.76","",
"TIP TPEx ESG Growth Total Return Index","3,747.65","+","46.67","1.26","",
"TIP TPEx ESG ITE Total Return Index","3,847.96","+","26.21","0.69","",
"Taiwan HDA Total Return Index","4,316.85","+","29.06","0.68","",
"TIP Taiwan DH Total Return Index","4,528.39","+","51.31","1.15","",
"TIP TPEx ESG HD Total Return Index","5,229.11","+","28.57","0.55","",
"TIP Finance DH Total Return Index","4,758.60","+","57.46","1.22","",
"2022/11/01  Market Summary"
"Summary","Trade Value(NT$)","Trade Volume(share)","Transaction",
"1.Stock","148,010,521,062","2,072,752,378","1,093,099",
"2.TDR","24,488,736","4,125,776","1,295",
"3.Beneficiary Certificate","0","0","0",
"4.ETF","7,707,521,987","538,251,157","129,744",
"5.Beneficial Securities","5,504,561","507,058","90",
"6.Stocks Requiring Full Delivery","3,514,380","625,923","399",
"7.Warrant","1,656,399,330","1,712,202,000","55,922",
"8.Convertible Bond","0","0","0",
"9.Preferred Stock With Warrant","0","0","0",
"10.Bond With Warrant","0","0","0",
"11.Company Warrants","0","0","0",
"12.Corporate Bond","0","0","0",
"13.ETN","5,976,500","1,315,000","168",
"14.Taiwan Innovation Board Stock","10,442,857","114,022","86",
"15.Taiwan Innovation Board Stock Requiring Full Delivery","0","0","0",
"Securities Total(1+6+14+15)","148,024,478,299","2,073,492,323","1,093,584",
"Grand Total(1~15)","157,424,369,413","4,329,893,314","1,280,803",
"Net Change of Price (Number of Listed Securities)"
"Type","Overall Market","Stocks",
"Up (Limit Up)","4,593(10)","758(10)",
"Down (Limit Down)","3,320(57)","143(0)",
"Unchanged","613","55",
"Unmatched","15,707","5",
"N/A","1,838","4",
"Remarks:"
"The movement between today¡¦s closing price and the previous day's closing price will be disclosed in "Change" column.",
"If the security goes ex-dividend, or ex-right, or is a new listing or resumes trading it will be marked as "N/A".",
"The total trade value including foreign currency ETFs is converted into NTD, using the exchange rate posted at 3:30pm on the day of trading.<br>Please refer to our official website at https://www.twse.com.tw/en/ Home > Market Info>Dual-Currency Trading ETFs>Daily exchange rate",

"2022/11/01 Daily Quotes(All(no Warrant & CBBC & OCBBC))"
"(NT$,share)",,,,,,,,,,"(NT$,Trading Unit)",,,,,
"Security Code","Trade Volume","Transaction","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Dir(+/-)","Change","Last Best Bid Price","Last Best Bid Volume","Last Best Ask Price","Last Best Ask Volume","Price-Earning ratio",
="0050","8,491,868","7,547","845,001,137","98.85","99.95","98.80","99.60","+","0.55","99.55","25","99.60","20","0.00",
="0051","58,892","143","2,935,258","49.53","49.91","49.53","49.80","+","0.50","49.75","2","49.80","1","0.00",
="0052","106,603","209","8,827,323","82.45","83.30","82.15","83.10","+","0.65","83.10","8","83.20","1","0.00",
="0053","1,979","876","95,764","48.81","48.81","48.81","48.81","+","0.17","48.71","14","49.00","25","0.00",
="0055","103,003","220","2,152,079","20.75","20.96","20.75","20.92","+","0.22","20.92","28","20.93","1","0.00",
="0056","17,674,500","10,239","416,057,760","23.50","23.59","23.45","23.55","+","0.07","23.54","58","23.55","57","0.00",
="0057","3,998","1,000","284,371","71.30","71.45","71.30","71.45","+","0.50","71.30","20","71.60","30","0.00",
="0061","435,167","987","7,311,012","16.71","17.02","16.71","16.84","+","0.12","16.82","74","16.92","73","0.00",
="006203","1,867","589","89,990","48.50","48.50","48.50","48.50","+","0.26","48.24","10","48.38","1","0.00",
="006204","26,720","946","1,738,349","64.80","65.20","64.80","65.15","+","0.30","65.00","10","65.20","1","0.00",
="006205","439,834","164","12,450,267","28.00","28.65","28.00","28.46","+","0.34","28.43","40","28.44","105","0.00",
="006206","51,519","932","1,363,054","26.28","26.79","26.28","26.72","+","0.44","26.62","8","26.66","50","0.00",
="006207","416,489","35","9,219,558","21.86","22.31","21.86","22.24","+","0.20","22.22","60","22.24","9","0.00",
="006208","2,897,357","2,969","165,817,189","56.90","57.55","56.85","57.25","+","0.30","57.25","37","57.30","56","0.00",
="00625K","0","0","0","--","--","--","--"," ","0.00","6.44","5","6.48","2","0.00",
="00631L","7,781,473","2,969","607,726,181","76.95","78.80","76.90","78.20","+","1.25","78.15","8","78.20","423","0.00",
="00632R","131,657,030","9,053","858,302,631","6.57","6.58","6.48","6.52","-","0.05","6.51","24,641","6.52","542","0.00",
="00633L","10,383,161","2,413","330,121,929","30.60","32.44","30.60","31.81","+","0.99","31.80","8","31.81","175","0.00",
="00634R","2,472,700","201","13,020,543","5.37","5.37","5.20","5.25","-","0.09","5.25","587","5.27","399","0.00",
="00635U","204,128","120","4,375,948","21.39","21.47","21.39","21.46","-","0.05","21.45","1","21.46","83","0.00",
="00636","649,034","758","12,152,567","18.44","18.91","18.42","18.74","+","0.22","18.73","10","18.74","1","0.00",
="00636K","200","2","1,158","5.79","5.79","5.79","5.79","+","0.02","5.79","1","5.83","1","0.00",
="00637L","90,548,831","11,494","1,126,692,933","12.10","12.75","12.06","12.51","+","0.39","12.50","156","12.51","1,180","0.00",
="00638R","1,994,500","302","22,669,390","11.62","11.62","11.18","11.30","-","0.16","11.30","24","11.31","389","0.00",
="00639","337,481","836","3,902,777","11.47","11.66","11.43","11.65","+","0.15","11.61","44","11.62","35","0.00",
="00640L","289,100","74","8,131,503","28.00","28.22","28.00","28.19","+","0.33","28.14","124","28.19","52","0.00",
="00641R","615,000","126","6,024,690","9.83","9.83","9.78","9.80","-","0.05","9.79","2","9.80","44","0.00",
="00642U","783,902","395","14,629,049","18.51","18.73","18.50","18.70","-","0.08","18.70","994","18.71","4","0.00",
="00643","153,768","972","2,171,764","13.98","14.32","13.98","14.22","+","0.18","14.18","62","14.22","8","0.00",
="00643K","0","0","0","--","--","--","--"," ","0.00","3.23","2","3.29","1","0.00",
="00645","59,259","76","1,529,365","25.75","25.86","25.75","25.86","+","0.19","25.82","45","25.88","50","0.00",
="00646","698,597","487","26,968,121","38.47","38.65","38.47","38.64","-","0.05","38.64","113","38.65","5","0.00",
="00647L","293,991","125","15,505,960","52.65","52.85","52.60","52.85","-","0.20","52.85","118","52.95","60","0.00",
="00648R","1,654,001","208","12,686,277","7.67","7.68","7.66","7.66","+","0.02","7.66","193","7.67","1,718","0.00",
="00650L","14,212,873","1,608","119,341,439","8.20","8.67","8.15","8.55","+","0.21","8.54","100","8.55","568","0.00",
="00651R","1,936,016","195","22,392,795","11.76","11.85","11.40","11.49","-","0.18","11.49","110","11.50","100","0.00",
="00652","518,426","209","16,174,228","31.00","31.32","31.00","31.32","+","0.41","31.30","1","31.33","2","0.00",
="00653L","310,205","178","14,750,229","46.83","47.78","46.83","47.78","+","1.12","47.78","47","47.79","2","0.00",
="00654R","964,000","207","7,632,460","7.99","7.99","7.89","7.89","-","0.09","7.89","43","7.90","25","0.00",
="00655L","4,116,792","756","90,681,377","21.30","22.59","21.30","22.13","+","0.68","22.12","9","22.13","69","0.00",
="00656R","1,440,138","95","14,370,333","10.16","10.16","9.88","9.96","-","0.17","9.96","95","9.97","10","0.00",
="00657","4,845","849","154,785","32.09","32.20","32.09","32.16","+","0.03","32.14","30","32.22","10","0.00",
="00657K","200","2","1,994","9.97","9.97","9.97","9.97"," ","0.00","9.96","1","10.00","1","0.00",
="00660","5,000","2","133,670","26.79","26.79","26.72","26.72","+","0.07","26.75","20","26.79","1","0.00",
="00661","2,977","976","102,941","34.84","34.88","34.84","34.88","-","0.03","34.85","10","34.95","11","0.00",
="00662","616,622","265","29,302,575","47.47","47.60","47.45","47.58","-","0.22","47.58","49","47.63","97","0.00",
="00663L","115,000","31","8,301,500","71.00","72.60","71.00","72.10","+","1.10","72.00","350","72.10","298","0.00",
="00664R","4,381,469","531","32,262,644","7.41","7.43","7.33","7.37","-","0.05","7.36","207","7.37","1,205","0.00",
="00665L","18,136,196","1,444","96,339,839","5.17","5.50","5.12","5.38","+","0.12","5.37","200","5.38","514","0.00",
="00666R","1,168,000","149","24,249,000","21.05","21.09","20.35","20.58","-","0.23","20.58","116","20.59","100","0.00",
="00668","123,056","751","4,713,310","38.25","38.35","38.25","38.34","-","0.02","38.34","39","38.36","2","0.00",
="00668K","200","2","2,374","11.87","11.87","11.87","11.87","-","0.04","11.88","1","11.90","1","0.00",
="00669R","18,081,000","1,432","148,803,700","8.25","8.25","8.21","8.23"," ","0.00","8.22","1,117","8.23","1,967","0.00",
="00670L","2,155,831","823","118,609,893","54.95","55.25","54.90","55.25","-","0.30","55.20","24","55.25","284","0.00",
="00671R","10,766,100","576","69,042,771","6.42","6.43","6.40","6.41","+","0.03","6.40","832","6.41","3,462","0.00",
="00673R","16,446,259","1,278","137,486,104","8.40","8.43","8.31","8.33","+","0.03","8.33","446","8.34","1,902","0.00",
="00674R","1,365,004","169","19,707,146","14.48","14.48","14.40","14.41","+","0.04","14.41","37","14.42","75","0.00",
="00675L","1,396,735","702","43,881,247","30.94","31.70","30.91","31.40","+","0.47","31.39","211","31.40","8","0.00",
="00676R","7,143,602","607","28,875,153","4.07","4.07","4.02","4.05","-","0.03","4.04","54","4.05","2,497","0.00",
="00678","464,835","1,054","12,506,879","26.87","26.95","26.87","26.92","-","0.06","26.91","38","26.92","1","0.00",
="00680L","689,129","132","7,267,018","10.51","10.58","10.49","10.58","-","0.05","10.57","6","10.58","143","0.00",
="00681R","466,000","54","9,308,190","20.16","20.16","19.95","19.97","+","0.05","19.95","5","19.97","51","0.00",
="00682U","174,000","76","3,857,120","22.19","22.20","22.14","22.17","+","0.09","22.16","15","22.17","14","0.00",
="00683L","1,392,433","310","34,965,926","25.13","25.17","25.02","25.07","+","0.21","25.07","1","25.08","56","0.00",
="00684R","42,325","23","639,619","15.08","15.12","15.08","15.10","-","0.08","15.10","12","15.13","10","0.00",
="00685L","208,000","88","5,807,130","27.52","28.15","27.50","27.82","+","0.33","27.86","10","27.92","10","0.00",
="00686R","389,000","24","1,700,190","4.41","4.41","4.36","4.37","-","0.05","4.37","15","4.38","210","0.00",
="00688L","222,000","40","2,316,540","10.40","10.46","10.35","10.45","-","0.07","10.45","7","10.46","55","0.00",
="00689R","105,006","13","2,178,400","20.79","20.79","20.72","20.72","+","0.07","20.74","1","20.75","52","0.00",
="00690","105,021","1,018","2,609,700","24.71","24.92","24.71","24.86","+","0.15","24.89","25","24.92","2","0.00",
="00692","1,732,793","1,040","43,429,482","24.90","25.17","24.88","25.05","+","0.15","25.05","30","25.06","2","0.00",
="00693U","497,009","60","12,815,771","25.65","25.85","25.60","25.84","+","0.27","25.84","4","25.85","1","0.00",
="00700","133,526","1,051","1,353,888","9.97","10.28","9.97","10.22","+","0.11","10.22","29","10.23","54","0.00",
="00701","997,806","537","21,582,973","21.63","21.68","21.53","21.59","-","0.04","21.59","10","21.61","2","0.00",
="00702","115,835","841","2,571,894","22.22","22.22","22.21","22.22","+","0.06","22.20","1","22.23","10","0.00",
="00703","213,317","1,037","2,664,806","12.45","12.65","12.45","12.59","+","0.15","12.54","20","12.57","20","0.00",
="00706L","943,050","121","7,977,597","8.43","8.49","8.42","8.46","-","0.06","8.46","10","8.47","132","0.00",
="00707R","3,005","6","79,690","26.52","26.52","26.52","26.52","+","0.02","26.55","24","26.61","10","0.00",
="00708L","936,000","156","19,298,690","20.53","20.70","20.53","20.69","-","0.12","20.68","22","20.69","147","0.00",
="00709","83,419","36","1,797,624","21.47","21.60","21.47","21.60","+","0.23","21.61","1","21.63","20","0.00",
="00710B","386,572","109","7,143,121","18.29","18.50","18.29","18.46","-","0.12","18.46","25","18.47","7","0.00",
="00711B","203,390","974","3,099,970","15.26","15.28","15.24","15.28"," ","0.00","15.25","1","15.26","2","0.00",
="00712","2,275,513","937","23,669,133","10.42","10.43","10.37","10.40","-","0.01","10.40","95","10.41","24","0.00",
="00713","997,892","752","36,324,468","36.19","36.50","36.18","36.44","+","0.19","36.44","18","36.45","2","0.00",
="00714","219,462","146","4,209,395","19.15","19.20","19.15","19.18"," ","0.00","19.17","32","19.18","2","0.00",
="00715L","10,115,043","903","194,924,162","19.03","19.53","19.03","19.52","+","0.22","19.51","3","19.52","414","0.00",
="00717","208,763","902","3,102,811","14.90","14.90","14.85","14.86","-","0.01","14.85","47","14.87","212","0.00",
="00728","179,970","229","3,587,455","19.78","19.99","19.75","19.92","+","0.11","19.91","61","19.92","2","0.00",
="00730","140,453","161","2,120,357","15.00","15.16","15.00","15.15","+","0.15","15.14","2","15.15","2","0.00",
="00731","1,099,842","197","58,991,015","53.45","53.80","53.45","53.60"," ","0.00","53.55","1","53.60","13","0.00",
="00732","211,007","16","8,596,364","40.79","40.79","40.70","40.70","-","0.12","40.70","17","40.78","16","0.00",
="00733","140,093","214","4,231,037","29.85","30.29","29.85","30.28","+","0.45","30.28","9","30.30","1","0.00",
="00735","101,986","984","2,329,566","22.85","22.87","22.85","22.87","+","0.11","22.84","22","22.91","22","0.00",
="00736","132,944","949","2,367,299","17.69","17.85","17.69","17.81","+","0.11","17.84","1","17.88","20","0.00",
